step,month,stage,ps_equivalent_reservoir,paraibuna,simplicio,sta_branca,jaguari,lajes,ilha_dos_pombos,santana,funil,vigario,sobragi,fontes_a,sta_cecilia,tocos,nilo_pecanha,fontes_bc,picada,pereira_passos
1,1,1,0.9466731612690504,0.0,272.571393352924,0.0,0.0,0.0,23.184471590319504,0.0,0.0,32.0,2.8610385878263997,0.0,257.060426650044,0.0,11.76546239999999,0.4375688000000011,1.850463639678253,0.0
2,2,1,0.9982621493089269,3.865220459009791,1245.9142359372336,4.9911217900217935,0.0,0.0,1143.4492805570294,5.0,306.9028691019743,46.0,137.8688167537779,0.0,788.5148698019743,10.0,11.76546239999999,14.437568800000001,69.84811010064891,0.0
3,3,1,1.0,4.582813451960504,859.401637161962,0.0,0.0,0.0,689.004846821102,0.0,178.36504256005202,38.99999999999994,61.885836635123894,0.0,532.977043260052,3.0,11.76546239999999,7.437568799999937,31.846411627238616,0.0
4,4,1,1.0,0.0,338.388870437733,0.0,0.0,0.0,89.37874477230093,0.0,0.0,41.00000000000006,11.811680068627169,23.89943254814818,261.87454222219225,4.0,11.755462399999999,9.437568800000065,6.793396787145696,0.0
5,5,1,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,9.628748557706082,145.21752933537317,0.0,11.75546239999997,0.0,0.0,0.0
6,6,1,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.48276588148150523,92.42339234327073,0.0,11.755462399999999,0.0,0.0,0.0
7,7,1,0.9684830238952208,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,19.89473684210202,0.0,0.0,92.10526315789284,0.0,11.75546239999997,0.0,0.0,0.0
8,8,1,0.9134119918492646,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,19.69728158896544,0.0,0.0,91.9900809268965,0.0,11.74546239999998,0.0,0.0,0.0
9,9,1,0.8773774676955369,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,17.516941082025937,0.0,0.0,90.7182156311818,0.0,11.755462399999999,0.0,0.0,0.0
10,10,1,0.8615299856564587,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,19.11163443708162,0.0,1.2435872673835213,90.4817867549643,0.0,11.75546239999997,0.0,0.0,0.0
11,11,1,0.9002908065620033,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,23.779246723855664,0.0,7.428691807407418,90.8712272555825,0.0,11.755462399999999,0.0,0.0,0.0
12,12,1,1.0,0.0,173.28927423019235,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,15.46640088745518,193.72250458633664,0.0,11.75546239999997,0.4375688000000011,0.0,0.0
13,1,1,0.9999999999999998,6.014004040692768,678.5404356006632,0.0,0.0,0.0,477.15351383805876,0.0,64.41746819778285,33.0,57.86103858782636,20.63441164014335,392.02946889778286,0.0,11.76546239999999,1.437568800000001,23.850463639678246,0.0
14,2,1,1.0,0.0,547.7767849344008,0.0,0.0,0.0,323.3118295541967,0.0,74.76541809914158,29.0,77.86881675377793,10.687711603065104,368.37741879914165,0.0,11.76546239999999,0.0,41.84811010064896,0.0
15,3,1,1.0,1.582813451960405,400.05301717189013,0.0,0.0,0.0,156.65622683102993,0.0,68.01642256998002,33.0,27.88583663512391,18.253587267383534,382.6284232699801,0.0,11.76546239999999,1.437568800000001,20.84641162723861,0.0
16,4,1,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,29.000000000000057,0.0,8.899432548148138,98.87454222219196,0.0,11.755462399999999,0.0,0.0,0.0
17,5,1,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,9.628748557706082,144.217529335373,0.0,11.75546239999997,0.0,0.0,0.0
